date,n_legs,leg_composition,goblin_deltas,demon_deltas,power_payout_x,flex_payout_x,source,notes\r\n
2026-04-28,3,0S+3G+0D,"5.5,0.0,0.5",,3.75,,screenshot_manual,"NBA 3-leg all-goblin variant from screenshots. Entry $20, To Win $75 (3.75x). Legs: Joel Embiid Pts+Rebs 29.5 MORE, Jaylen Brown Pts+Rebs 33.0 MORE, Jayson Tatum Pts+Rebs 33.5 MORE. Goblin deltas vs slate standard baselines: 5.5, 0.0, 0.5."
2026-04-28,3,0S+3G+0D,"5.5,0.0,1.5",,3.5,,screenshot_manual,"NBA 3-leg all-goblin variant from screenshots. Entry $20, To Win $70 (3.5x). Legs: Joel Embiid Pts+Rebs 29.5 MORE, Jaylen Brown Pts+Rebs 33.0 MORE, Jayson Tatum Pts+Rebs 32.5 MORE. Goblin deltas vs slate standard baselines: 5.5, 0.0, 1.5. Duplicate screenshot variant observed; logged once."
2026-04-28,3,0S+3G+0D,"5.5,0.0,4.5",,3,,screenshot_manual,"NBA 3-leg all-goblin variant from screenshots. Entry $20, To Win $60 (3.0x). Legs: Joel Embiid Pts+Rebs 29.5 MORE, Jaylen Brown Pts+Rebs 33.0 MORE, Jayson Tatum Pts+Rebs 29.5 MORE. Goblin deltas vs slate standard baselines: 5.5, 0.0, 4.5."
2026-04-28,4,0S+4G+0D,"1.5,4.0,1.5,3.5",,9,,screenshot_manual,"NBA 4-leg all-goblin variant from screenshot batch. Legs: Jayson Tatum Pts+Rebs 32.5 MORE, Tyrese Maxey Pts+Rebs 24.5 MORE, Joel Embiid Pts+Rebs 33.5 MORE, Jaylen Brown Pts+Rebs 29.5 MORE. Goblin deltas vs slate standard baselines (Tatum 34.0, Maxey 28.5, Embiid 35.0, Brown 33.0): 1.5, 4.0, 1.5, 3.5. Power panel showed first place 10x and minimum guarantee 9x."
2026-04-28,4,0S+4G+0D,"0.0,2.0,1.5,3.5",,6.75,,screenshot_manual,"NBA 4-leg all-goblin variant from screenshot batch. Legs: Jayson Tatum Pts+Rebs 34.0 MORE, Tyrese Maxey Pts+Rebs 26.5 MORE, Joel Embiid Pts+Rebs 33.5 MORE, Jaylen Brown Pts+Rebs 29.5 MORE. Goblin deltas vs slate standard baselines: 0.0, 2.0, 1.5, 3.5. Power panel showed first place 10x and minimum guarantee 6.75x."
2026-04-28,4,0S+4G+0D,"0.0,4.0,1.5,3.5",,6,,screenshot_manual,"NBA 4-leg all-goblin variant from screenshot batch. Entry $20, To Win $120 (6x). Legs: Jayson Tatum Pts+Rebs 34.0 MORE, Tyrese Maxey Pts+Rebs 24.5 MORE, Joel Embiid Pts+Rebs 33.5 MORE, Jaylen Brown Pts+Rebs 29.5 MORE. Goblin deltas vs slate standard baselines: 0.0, 4.0, 1.5, 3.5."
2026-04-28,4,0S+4G+0D,"1.5,3.5,4.0,0.5",,5.5,,screenshot_manual,"NBA 4-leg all-goblin preferred variant from screenshot. Legs: Joel Embiid Pts+Rebs 33.5 MORE, Jaylen Brown Pts+Rebs 29.5 MORE, Tyrese Maxey Pts+Rebs 24.5 MORE, Jayson Tatum Pts+Rebs 33.5 MORE. Goblin deltas vs slate standard baselines (Embiid 35.0, Brown 33.0, Maxey 28.5, Tatum 34.0): 1.5, 3.5, 4.0, 0.5. Power panel showed first place 10x and minimum guarantee 5.5x (>3x)."
2026-04-28,5,0S+5G+0D,"1.5,3.5,4.0,0.5,3.0",,8.75,,screenshot_manual,"NBA 5-leg all-goblin ticket from screenshots. Entry $20, To Win $175 (8.75x). Power panel showed first place 20x and minimum guarantee 8.75x. Legs: Joel Embiid Pts+Rebs 33.5 MORE, Jaylen Brown Pts+Rebs 29.5 MORE, Tyrese Maxey Pts+Rebs 24.5 MORE, Jayson Tatum Pts+Rebs 33.5 MORE, Payton Pritchard Pts+Rebs 14.5 MORE. Goblin deltas vs slate standard baselines (Embiid 35.0, Brown 33.0, Maxey 28.5, Tatum 34.0, Pritchard 17.5): 1.5, 3.5, 4.0, 0.5, 3.0."
2026-04-28,4,3S+1G+0D,1.0,,5.5,,screenshot_manual,"NBA 4-leg mixed ticket from screenshots (CJ McCollum added). Minimum guarantee basis applied per calibration rule. Panel showed first place 10x and minimum guarantee 5.5x (entry was $20, to-win card showed $185). Legs shown: CJ McCollum Points 20.5 MORE, Jalen Johnson Points 20.5 MORE, Karl-Anthony Towns Points 20.5 MORE, Jalen Brunson Points 25.5 MORE. Treated as 3 Standard + 1 Goblin (Brunson). Goblin delta inferred as 1.0 using Brunson standard counterpart line 26.5 from slate."
2026-04-28,4,0S+4G+0D,"1.0,1.0,3.0,2.0",,5.5,,screenshot_manual,"NBA 4-leg all-goblin ticket from screenshots. Minimum guarantee basis applied. Panel showed first place 10x and minimum guarantee 5.5x (entry $20, to-win card showed $110). Legs: Jalen Brunson Points 25.5 MORE, CJ McCollum Points 18.5 MORE, Jalen Johnson Points 17.5 MORE, Karl-Anthony Towns Points 18.5 MORE. Goblin deltas vs nearest slate standard counterparts: Brunson 26.5->25.5 (1.0), McCollum 19.5->18.5 (1.0), Jalen Johnson 20.5->17.5 (3.0, approximate due no Standard OVER row), KAT 20.5->18.5 (2.0)."
2026-04-28,4,0S+4G+0D,"2.0,2.0,2.0,3.0",,4.75,,screenshot_manual,"NBA 4-leg all-goblin ticket from screenshots. Minimum guarantee basis applied. Panel showed first place 10x and minimum guarantee 4.75x (entry $20, to-win card showed $95). Legs: Jalen Brunson Points 24.5 MORE, CJ McCollum Points 17.5 MORE, Jalen Johnson Points 18.5 MORE, Karl-Anthony Towns Points 17.5 MORE. Goblin deltas vs nearest slate standard counterparts: Brunson 26.5->24.5 (2.0), McCollum 19.5->17.5 (2.0), Jalen Johnson 20.5->18.5 (2.0, approximate due no Standard OVER row), KAT 20.5->17.5 (3.0)."
2026-04-28,5,0S+5G+0D,"2.0,2.0,2.0,3.0,2.0",,7.25,,screenshot_manual,"NBA 5-leg all-goblin ticket from screenshots. Minimum guarantee basis applied. Panel showed first place 20x and minimum guarantee 7.25x (entry $200, to-win card showed $1450). Legs: Jalen Brunson Points 24.5 MORE, CJ McCollum Points 17.5 MORE, Jalen Johnson Points 18.5 MORE, Karl-Anthony Towns Points 17.5 MORE, Jonathan Kuminga Points 10.5 MORE. Goblin deltas vs nearest slate standard counterparts: Brunson 26.5->24.5 (2.0), McCollum 19.5->17.5 (2.0), Jalen Johnson 20.5->18.5 (2.0, approximate due no Standard OVER row), KAT 20.5->17.5 (3.0), Kuminga 12.5->10.5 (2.0)."
2026-04-28,5,0S+5G+0D,"3.0,2.0,2.0,3.0,5.0",,5.25,,screenshot_manual,"NBA 5-leg all-goblin ticket from screenshots. Minimum guarantee basis applied. Panel showed first place 20x and minimum guarantee 5.25x (entry $200, to-win card showed $1050). Legs: CJ McCollum Points 17.5 MORE, Jalen Johnson Points 18.5 MORE, Karl-Anthony Towns Points 17.5 MORE, Jonathan Kuminga Points 7.5 MORE, Jalen Brunson Points 23.5 MORE. Goblin deltas vs nearest slate standard counterparts: McCollum 19.5->17.5 (2.0), Jalen Johnson 20.5->18.5 (2.0, approximate due no Standard OVER row), KAT 20.5->17.5 (3.0), Kuminga 12.5->7.5 (5.0), Brunson 26.5->23.5 (3.0)."
2026-04-28,6,0S+6G+0D,"3.0,2.0,2.0,3.0,2.0,3.0",,9.25,,screenshot_manual,"NBA 6-leg all-goblin ticket from screenshots. Minimum guarantee basis applied. Panel showed first place 37.5x and minimum guarantee 9.25x (entry $200, to-win card showed $1850). Legs: Jalen Brunson Points 23.5 MORE, CJ McCollum Points 17.5 MORE, Jalen Johnson Points 18.5 MORE, Karl-Anthony Towns Points 17.5 MORE, Jonathan Kuminga Points 10.5 MORE, Onyeka Okongwu Points 9.5 MORE. Goblin deltas vs nearest slate standard counterparts: Brunson 26.5->23.5 (3.0), McCollum 19.5->17.5 (2.0), Jalen Johnson 20.5->18.5 (2.0, approximate due no Standard OVER row), KAT 20.5->17.5 (3.0), Kuminga 12.5->10.5 (2.0), Okongwu 12.5->9.5 (3.0)."
2026-04-28,4,0S+4G+0D,"2.0,2.0,1.0,2.0",,6.75,,screenshot_manual,"NBA 4-leg all-goblin ticket from screenshots. Minimum guarantee basis applied. Panel showed first place 10x and minimum guarantee 6.75x (entry $20, to-win card showed $135). Legs: Karl-Anthony Towns Points 18.5 MORE, Nickeil Alexander-Walker Points 15.5 MORE, Onyeka Okongwu Points 11.5 MORE, Jonathan Kuminga Points 10.5 MORE. Goblin deltas vs nearest slate standard counterparts: KAT 20.5->18.5 (2.0), Nickeil Alexander-Walker 17.5->15.5 (2.0, inferred standard from goblin ladder), Okongwu 12.5->11.5 (1.0), Kuminga 12.5->10.5 (2.0)."
2026-04-28,4,0S+4G+0D,"2.0,2.0,2.0,1.0",,5.75,,screenshot_manual,"NBA 4-leg all-goblin ticket from screenshots. Minimum guarantee basis applied. Panel showed first place 10x and minimum guarantee 5.75x (entry $20, to-win card showed $115). Legs: Karl-Anthony Towns Points 18.5 MORE, Nickeil Alexander-Walker Points 15.5 MORE, OG Anunoby Points 15.5 MORE, Onyeka Okongwu Points 11.5 MORE. Goblin deltas vs nearest slate standard counterparts: KAT 20.5->18.5 (2.0), Nickeil Alexander-Walker 17.5->15.5 (2.0, inferred standard from goblin ladder), OG Anunoby 17.5->15.5 (2.0), Okongwu 12.5->11.5 (1.0)."
2026-04-28,4,1S+3G+0D,"2.0,2.0,1.0",,5.0,,screenshot_manual,"NBA 4-leg mixed ticket from screenshots. Minimum guarantee basis applied. Panel showed first place 10x and minimum guarantee 5x (entry $20, to-win card showed $100). Legs: Karl-Anthony Towns Points 18.5 MORE (Goblin), Nickeil Alexander-Walker Points 17.5 MORE (Standard), OG Anunoby Points 15.5 MORE (Goblin), Onyeka Okongwu Points 11.5 MORE (Goblin). Goblin deltas vs nearest slate standard counterparts: KAT 20.5->18.5 (2.0), OG Anunoby 17.5->15.5 (2.0), Okongwu 12.5->11.5 (1.0)."
2026-04-28,4,0S+4G+0D,"2.0,1.0,6.0,1.0",,4.75,,screenshot_manual,"NBA 4-leg all-goblin ticket from screenshots. Minimum guarantee basis applied. Panel showed first place 10x and minimum guarantee 4.75x (entry $20, to-win card showed $95). Legs: Karl-Anthony Towns Points 18.5 MORE, Nickeil Alexander-Walker Points 16.5 MORE, OG Anunoby Points 11.5 MORE, Onyeka Okongwu Points 11.5 MORE. Goblin deltas vs nearest slate standard counterparts: KAT 20.5->18.5 (2.0), Nickeil Alexander-Walker 17.5->16.5 (1.0, inferred standard from goblin ladder), OG Anunoby 17.5->11.5 (6.0), Okongwu 12.5->11.5 (1.0)."
2026-04-28,4,0S+4G+0D,"2.0,2.0,6.0,1.0",,4.25,,screenshot_manual,"NBA 4-leg all-goblin ticket from screenshots. Minimum guarantee basis applied. Panel showed first place 10x and minimum guarantee 4.25x (entry $20, to-win card showed $85). Legs: Karl-Anthony Towns Points 18.5 MORE, Nickeil Alexander-Walker Points 15.5 MORE, OG Anunoby Points 11.5 MORE, Onyeka Okongwu Points 11.5 MORE. Goblin deltas vs nearest slate standard counterparts: KAT 20.5->18.5 (2.0), Nickeil Alexander-Walker 17.5->15.5 (2.0, inferred standard from goblin ladder), OG Anunoby 17.5->11.5 (6.0), Okongwu 12.5->11.5 (1.0)."
2026-04-28,4,4S+0G+0D,,,10.0,,screenshot_manual,"NBA 4-leg all-standard ticket from screenshots. Minimum guarantee basis applied. Panel showed first place 10x and minimum guarantee 10x (entry $20, to-win card showed $200). Legs: Karl-Anthony Towns Points 20.5 MORE, Nickeil Alexander-Walker Points 17.5 MORE, OG Anunoby Points 17.5 MORE, Onyeka Okongwu Points 12.5 MORE."
2026-04-28,4,2S+2G+0D,"2.0,1.0",,8.25,,screenshot_manual,"NBA 4-leg mixed ticket from screenshots. Minimum guarantee basis applied. Panel showed first place 10x and minimum guarantee 8.25x (entry $20, to-win card showed $165). Legs: Karl-Anthony Towns Points 18.5 MORE (Goblin), Nickeil Alexander-Walker Points 16.5 MORE (Goblin), OG Anunoby Points 17.5 MORE (Standard), Onyeka Okongwu Points 12.5 MORE (Standard). Goblin deltas vs nearest slate standard counterparts: KAT 20.5->18.5 (2.0), Nickeil Alexander-Walker 17.5->16.5 (1.0, inferred standard from goblin ladder)."
2026-04-28,4,1S+3G+0D,"2.0,1.0,2.0",,7.0,,screenshot_manual,"NBA 4-leg mixed ticket from screenshots. Minimum guarantee basis applied. Panel showed first place 10x and minimum guarantee 7x (entry $20, to-win card showed $140). Legs: Karl-Anthony Towns Points 18.5 MORE (Goblin), Nickeil Alexander-Walker Points 16.5 MORE (Goblin), OG Anunoby Points 15.5 MORE (Goblin), Onyeka Okongwu Points 12.5 MORE (Standard). Goblin deltas vs nearest slate standard counterparts: KAT 20.5->18.5 (2.0), Nickeil Alexander-Walker 17.5->16.5 (1.0, inferred standard from goblin ladder), OG Anunoby 17.5->15.5 (2.0)."
2026-04-28,4,1S+3G+0D,"3.0,2.0,3.0",,5.25,,screenshot_manual,"NBA 4-leg mixed ticket from screenshots. Minimum guarantee basis applied. Panel showed first place 10x and minimum guarantee 5.25x (entry $20, to-win card showed $105). Legs: Karl-Anthony Towns Points 17.5 MORE (Goblin), Nickeil Alexander-Walker Points 15.5 MORE (Goblin), OG Anunoby Points 14.5 MORE (Goblin), Onyeka Okongwu Points 12.5 MORE (Standard). Goblin deltas vs nearest slate standard counterparts: KAT 20.5->17.5 (3.0), Nickeil Alexander-Walker 17.5->15.5 (2.0, inferred standard from goblin ladder), OG Anunoby 17.5->14.5 (3.0)."
2026-04-28,4,0S+4G+0D,"3.0,3.0,6.0,0.0",,4.0,,screenshot_manual,"NBA 4-leg all-goblin ticket from screenshot. Minimum guarantee basis applied. Panel showed first place 10x and minimum guarantee 4x (entry $20, to-win card showed $80). Legs: Karl-Anthony Towns Points 17.5 MORE, Nickeil Alexander-Walker Points 14.5 MORE, OG Anunoby Points 11.5 MORE, Onyeka Okongwu Points 12.5 MORE. Goblin deltas vs nearest slate standard counterparts: KAT 20.5->17.5 (3.0), Nickeil Alexander-Walker 17.5->14.5 (3.0, inferred standard from goblin ladder), OG Anunoby 17.5->11.5 (6.0), Okongwu 12.5->12.5 (0.0)."
2026-04-28,4,0S+4G+0D,"3.0,3.0,6.0,1.0",,3.75,,screenshot_manual,"NBA 4-leg all-goblin ticket from screenshot. Minimum guarantee basis applied. Panel showed first place 10x and minimum guarantee 3.75x (entry $20, to-win card showed $75). Legs: Karl-Anthony Towns Points 17.5 MORE, Nickeil Alexander-Walker Points 14.5 MORE, OG Anunoby Points 11.5 MORE, Onyeka Okongwu Points 11.5 MORE. Goblin deltas vs nearest slate standard counterparts: KAT 20.5->17.5 (3.0), Nickeil Alexander-Walker 17.5->14.5 (3.0, inferred standard from goblin ladder), OG Anunoby 17.5->11.5 (6.0), Okongwu 12.5->11.5 (1.0)."
2026-04-28,4,0S+4G+0D,"3.0,3.0,6.0,2.0",,3.5,,screenshot_manual,"NBA 4-leg all-goblin ticket from screenshot. Minimum guarantee basis applied. Panel showed first place 10x and minimum guarantee 3.5x (entry $20, to-win card showed $70). Legs: Karl-Anthony Towns Points 17.5 MORE, Nickeil Alexander-Walker Points 14.5 MORE, OG Anunoby Points 11.5 MORE, Onyeka Okongwu Points 10.5 MORE. Goblin deltas vs nearest slate standard counterparts: KAT 20.5->17.5 (3.0), Nickeil Alexander-Walker 17.5->14.5 (3.0, inferred standard from goblin ladder), OG Anunoby 17.5->11.5 (6.0), Okongwu 12.5->10.5 (2.0)."
2026-04-28,4,0S+4G+0D,"3.0,3.0,6.0,3.0",,3.25,,screenshot_manual,"NBA 4-leg all-goblin ticket from screenshot. Minimum guarantee basis applied. Panel showed first place 10x and minimum guarantee 3.25x (entry $20, to-win card showed $65). Legs: Karl-Anthony Towns Points 17.5 MORE, Nickeil Alexander-Walker Points 14.5 MORE, OG Anunoby Points 11.5 MORE, Onyeka Okongwu Points 9.5 MORE. Goblin deltas vs nearest slate standard counterparts: KAT 20.5->17.5 (3.0), Nickeil Alexander-Walker 17.5->14.5 (3.0, inferred standard from goblin ladder), OG Anunoby 17.5->11.5 (6.0), Okongwu 12.5->9.5 (3.0)."
2026-04-28,4,0S+3G+1D,"3.0,3.0,6.0",7.0,13.0,,screenshot_manual,"NBA 4-leg mixed goblin+demon ticket from screenshot. Minimum guarantee basis applied. Panel showed first place 10x and minimum guarantee 13x (entry $20, to-win card showed $260). Legs: Karl-Anthony Towns Points 17.5 MORE (Goblin), Nickeil Alexander-Walker Points 14.5 MORE (Goblin), OG Anunoby Points 11.5 MORE (Goblin), Onyeka Okongwu Points 19.5 MORE (Demon). Goblin deltas vs nearest slate standard counterparts: KAT 20.5->17.5 (3.0), Nickeil Alexander-Walker 17.5->14.5 (3.0, inferred standard from goblin ladder), OG Anunoby 17.5->11.5 (6.0). Demon delta vs nearest standard counterpart: Okongwu 19.5-12.5 (7.0)."
2026-04-28,4,0S+2G+2D,"3.0,3.0","7.0,7.0",54.0,,screenshot_manual,"NBA 4-leg mixed goblin+demon ticket from screenshot. Minimum guarantee basis applied. Panel showed first place 10x and minimum guarantee 54x (entry $20, to-win card showed $1080). Legs: Karl-Anthony Towns Points 17.5 MORE (Goblin), Nickeil Alexander-Walker Points 14.5 MORE (Goblin), OG Anunoby Points 24.5 MORE (Demon), Onyeka Okongwu Points 19.5 MORE (Demon). Goblin deltas vs nearest slate standard counterparts: KAT 20.5->17.5 (3.0), Nickeil Alexander-Walker 17.5->14.5 (3.0, inferred standard from goblin ladder). Demon deltas vs nearest standard counterparts: OG Anunoby 24.5-17.5 (7.0), Okongwu 19.5-12.5 (7.0)."
2026-05-06,5,0S+5G+0D,,,4.25,,screenshot_manual,"PrizePicks Share Lineup screenshots (11:07 AM). Entry $20 to pay $85, 5-Pick Power Play. Details pane shows minimum guarantee 4.25x ($85) and 1st place pays 20x ($400). Entry ID 1605247416. Legs shown as MORE: James Harden Pts+Asts 19.5, Tobias Harris Pts+Rebs 24.5, Isaiah Joe Points 3.5, Marcus Smart PRA 12.5, Rui Hachimura PRA 13.5. Pick-type icons indicate non-standard promo (logged as Goblin composition); exact per-leg standard_line deltas not yet extracted from matching slate snapshot."
2026-05-08,6,4S+2G+0D,,,18.5,11.0,screenshot_manual,"PrizePicks 6-pick ticket screenshot: Power Play $20 entry, $370 to win (18.5x). Flex schedule shown: 6/6 = 11x, 5/6 = 1.5x, 4/6 = 0.4x. Legs: Miles McBride FG Attempted 9.5 LESS (Standard), VJ Edgecombe Pts+Asts 11.5 MORE (Goblin), Anthony Edwards FG Attempted 18.5 LESS (Standard), Julius Randle Pts+Asts 23.5 LESS (Standard), Stephon Castle Pts+Asts 19.5 MORE (Goblin), Victor Wembanyama Pts+Asts 29.5 LESS (Standard)."
2026-05-08,6,4S+2G+0D,,,19.5,,screenshot_manual,"PrizePicks 6-pick Power screenshot: USD 20 entry, USD 390 to win (19.5x). Legs: Josh Hart Pts+Rebs 21.5 LESS (Standard), Miles McBride Pts+Rebs 13.5 LESS (Standard), OG Anunoby Pts+Rebs 21.5 MORE (Standard), Tyrese Maxey Pts+Rebs 23.5 MORE (Goblin), VJ Edgecombe Pts+Rebs 14.5 MORE (Goblin), Victor Wembanyama Pts+Rebs 38.5 LESS (Standard)."
2026-05-09,6,0S+6G+0D,,,3.75,,screenshot_manual,"PrizePicks 6-pick Power Play from screenshot (May 9 2026 ~1:06 PM). Entry $200 to win $750 (3.75x). All six legs are Goblin (0S+6G+0D). Legs OVER: Tobias Harris Pts+Rebs 19.5 (26 DET/CLE); Rui Hachimura Pts+Asts 9.5 (23 LAL@OKC); Isaiah Joe Points 1.5 (6); Marcus Smart Pts+Rebs 9.5 (13); Isaiah Hartenstein Points 5.5 (12); Duncan Robinson Pts+Rebs 9.5 (18 DET/CLE). Goblin deltas vs nearest Standard slate lines not computed here — add when matched to combined slate export."
